month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
6,15,26,32,05:15 AM,06:39 PM,11:44 PM,11:20 AM,5,E,11.3,85,54,1003,Moderate or heavy rain shower
6,16,26,30,05:15 AM,06:39 PM,No moonrise,12:10 PM,6,ESE,5.2,89,67,1004,Heavy rain at times
6,17,25,31,05:15 AM,06:40 PM,12:18 AM,01:04 PM,5,ESE,4.2,88,52,1005,Heavy rain at times
6,18,25,34,05:16 AM,06:40 PM,12:54 AM,02:01 PM,6,SSE,0.7,83,45,1003,Patchy rain possible
6,19,26,36,05:16 AM,06:40 PM,01:35 AM,03:01 PM,4,SSE,0.0,76,33,1001,Partly cloudy
6,20,27,37,05:16 AM,06:40 PM,02:21 AM,04:06 PM,4,SSE,0.1,73,32,1001,Partly cloudy
6,21,28,38,05:16 AM,06:41 PM,03:15 AM,05:14 PM,5,S,0.0,69,28,1001,Partly cloudy
6,22,27,33,05:17 AM,06:41 PM,05:24 AM,07:22 PM,4,ESE,0.6,82,27,1003,Partly cloudy
6,23,27,33,05:17 AM,06:41 PM,05:24 AM,07:22 PM,4,ESE,0.6,82,27,1003,Partly cloudy
6,24,27,34,05:17 AM,06:41 PM,06:34 AM,08:18 PM,5,SSE,5.3,82,43,1004,Heavy rain at times
6,25,27,35,05:17 AM,06:41 PM,07:43 AM,09:07 PM,4,S,0.0,76,40,1002,Partly cloudy
6,26,26,30,05:17 AM,06:41 PM,08:48 AM,09:50 PM,4,SSW,7.1,89,75,1002,Moderate or heavy rain shower
6,27,25,32,05:18 AM,06:42 PM,09:50 AM,10:29 PM,5,SW,9.4,82,60,1002,Moderate or heavy rain shower
6,28,25,33,05:18 AM,06:42 PM,10:48 AM,11:06 PM,7,SSW,0.0,80,56,1002,Cloudy
6,29,25,34,05:18 AM,06:42 PM,11:45 AM,11:43 PM,7,S,0.0,79,53,1003,Overcast
6,30,26,33,05:19 AM,06:42 PM,12:39 PM,No moonset,5,SSW,2.4,80,50,1005,Heavy rain at times
7,1,26,32,05:19 AM,06:42 PM,01:35 PM,12:19 AM,3,WSW,0.7,85,58,1006,Moderate rain at times
7,2,26,36,05:19 AM,06:42 PM,02:30 PM,12:58 AM,5,S,0.6,74,38,1004,Patchy rain possible
7,3,26,33,05:20 AM,06:42 PM,03:25 PM,01:40 AM,5,SW,0.0,84,53,1002,Cloudy
7,4,24,27,05:20 AM,06:42 PM,04:19 PM,02:25 AM,8,S,29.3,96,72,1002,Moderate or heavy rain shower
7,5,24,28,05:20 AM,06:42 PM,05:12 PM,03:14 AM,9,S,18.2,92,74,1003,Moderate or heavy rain shower
7,6,24,28,05:21 AM,06:42 PM,06:01 PM,04:05 AM,7,S,13.1,94,74,1006,Moderate rain at times
7,7,24,32,05:21 AM,06:42 PM,06:46 PM,04:58 AM,7,S,21.9,84,61,1007,Moderate or heavy rain shower
7,8,24,32,05:21 AM,06:42 PM,07:28 PM,05:51 AM,7,SE,2.0,83,24,1006,Moderate or heavy rain shower
7,9,25,34,05:22 AM,06:42 PM,08:05 PM,06:43 AM,6,ESE,0.4,82,29,1005,Patchy rain possible
7,10,26,36,05:22 AM,06:42 PM,08:40 PM,07:35 AM,5,ESE,0.3,78,30,1003,Patchy rain possible
7,11,26,35,05:22 AM,06:42 PM,09:13 PM,08:25 AM,5,ESE,3.4,79,40,1001,Patchy rain possible
7,12,26,33,05:23 AM,06:42 PM,09:45 PM,09:15 AM,7,SSE,57.9,87,52,1001,Moderate or heavy rain shower
7,13,25,30,05:23 AM,06:41 PM,10:18 PM,10:05 AM,9,ESE,33.0,93,72,1003,Moderate or heavy rain shower
7,14,25,33,05:24 AM,06:41 PM,10:52 PM,10:56 AM,3,S,3.2,87,47,1004,Patchy rain possible
7,15,26,34,05:24 AM,06:41 PM,11:30 PM,11:50 AM,4,ESE,0.6,84,28,1004,Patchy rain possible
7,16,25,33,05:24 AM,06:41 PM,No moonrise,12:47 PM,5,SE,12.0,87,62,1003,Moderate or heavy rain shower
